Cargo,Experiência,Salário
DBA/Administrador de Banco de Dados,Júnior,de R$ 8.001/mês a R$ 12.000/mês
Supervisor/Coordenador,,
Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Pleno,de R$ 12.001/mês a R$ 16.000/mês
Cientista de Dados/Data Scientist,Sênior,de R$ 12.001/mês a R$ 16.000/mês
Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Pleno,de R$ 6.001/mês a R$ 8.000/mês
Professor,Pleno,de R$ 2.001/mês a R$ 3.000/mês
Analista de BI/BI Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês
Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,de R$ 2.001/mês a R$ 3.000/mês
Analista de BI/BI Analyst,Sênior,de R$ 6.001/mês a R$ 8.000/mês
Professor,Pleno,de R$ 8.001/mês a R$ 12.000/mês
Analista de BI/BI Analyst,Júnior,de R$ 3.001/mês a R$ 4.000/mês
Analista de Inteligência de Mercado/Market Intelligence,Sênior,de R$ 8.001/mês a R$ 12.000/mês
,,
Analista de Negócios/Business Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês
Varejo,Acima de 3.000,FALSE
Analista de BI/BI Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês
,,de R$ 12.001/mês a R$ 16.000/mês
,,de R$ 12.001/mês a R$ 16.000/mês
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 6.001/mês a R$ 8.000/mês
Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT)
,,de R$ 20.001/mês a R$ 25.000/mês
,,de R$ 8.001/mês a R$ 12.000/mês
Product Manager/ Product Owner (PM/APM/DPM/GPM/PO),Pleno,de R$ 6.001/mês a R$ 8.000/mês
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 12.001/mês a R$ 16.000/mês
Tecnologia/Fábrica de Software,de 101 a 500,TRUE
,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
FALSE,,Outra Opção
Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,de R$ 3.001/mês a R$ 4.000/mês
,,
Cientista de Dados/Data Scientist,Júnior,de R$ 8.001/mês a R$ 12.000/mês
Analista de Dados/Data Analyst,Júnior,de R$ 3.001/mês a R$ 4.000/mês
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 2.001/mês a R$ 3.000/mês
Analista de BI/BI Analyst,Júnior,de R$ 3.001/mês a R$ 4.000/mês
Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Pleno,de R$ 8.001/mês a R$ 12.000/mês
"""Desempregado"," buscando recolocação""",
Analista de BI/BI Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês
Analista de Negócios/Business Analyst,Pleno,de R$ 3.001/mês a R$ 4.000/mês
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 2.001/mês a R$ 3.000/mês
de 1.001 a 3.000,FALSE,
,,
Analista de Suporte/Analista Técnico,Pleno,de R$ 3.001/mês a R$ 4.000/mês
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 4.001/mês a R$ 6.000/mês
,,de R$ 4.001/mês a R$ 6.000/mês
,,de R$ 20.001/mês a R$ 25.000/mês
Outra Opção,Júnior,Menos de R$ 1.000/mês
Cientista de Dados/Data Scientist,Sênior,de R$ 6.001/mês a R$ 8.000/mês
FALSE,,Analista de Dados/Data Analyst
Engenheiro de Machine Learning/ML Engineer,Pleno,de R$ 6.001/mês a R$ 8.000/mês
,,de R$ 12.001/mês a R$ 16.000/mês
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 8.001/mês a R$ 12.000/mês
Empregado (CLT),Agronegócios,de 11 a 50
